time,Vvout_highq
1.002567101618796e-003,-3.218871e-001
1.002649022297515e-003,-3.074601e-001
1.002749938936640e-003,-2.898923e-001
1.002963158417018e-003,-2.535687e-001
1.003127302031535e-003,-2.264107e-001
1.003352640370396e-003,-1.901080e-001
1.003574942996903e-003,-1.554744e-001
1.003830940990715e-003,-1.171467e-001
1.004105238717951e-003,-7.790763e-002
1.004409554662365e-003,-3.669851e-002
1.004771934624968e-003,9.161116e-003
1.005208845289490e-003,5.964651e-002
1.005811408548943e-003,1.205709e-001
1.006669692948880e-003,1.908122e-001
1.007881566424096e-003,2.638990e-001
1.008847144285422e-003,3.020509e-001
1.009568613081827e-003,3.175418e-001
1.010223015172978e-003,3.226650e-001
1.010904522507373e-003,3.206707e-001
